name,name_tag,elev,wsun,kappa,beta,t,wsky
pano_abckkwoktucfib,,0.79314,1.30606 1.24263 1.15108,0.08513,22.23406,19.73977,0.39517 0.41488 0.44062
pano_abeskjrxxapqew,,1.30299,1.94801 1.87586 1.80561,0.15859,3.81541,20.90804,0.82972 0.87256 0.89936
pano_abiuqshynrosnp,,0.36201,0.86914 0.83640 0.79637,0.14081,5.85883,19.70276,0.67434 0.69411 0.70613
pano_aboguafwsbrnzn,,1.06222,2.66025 2.53277 2.36963,0.14287,17.90696,21.59099,0.67424 0.72407 0.77042
pano_abqxejkzqbhtmy,,0.79873,1.61178 1.53379 1.42543,0.10038,19.50848,20.23492,0.48493 0.51188 0.54203
pano_adaobvnnebfupx,,0.73250,1.67140 1.58955 1.47719,0.09785,20.49666,20.31179,0.45817 0.48513 0.51656
pano_aewsgmbmnpcnpv,,0.61715,1.27565 1.21392 1.12704,0.09785,18.15233,19.84440,0.47354 0.49551 0.52051
pano_aexisjidbjsjss,,0.73556,1.94127 1.84856 1.72441,0.12214,17.11762,20.78903,0.59566 0.63192 0.66709
pano_aeyopajacxrzgv,,0.99302,1.47840 1.40803 1.30935,0.10412,18.31416,20.14426,0.50488 0.53095 0.55913
pano_afaahgdjjwhpaj,,0.35502,0.05811 0.05921 0.05687,0.48370,48.51214,19.39988,0.20513 0.21056 0.22738
pano_affdcusvmvqxnk,,0.53216,0.82217 0.78257 0.72357,0.08112,19.66689,18.96845,0.38409 0.39611 0.41349
pano_afgacpetjkiosw,,0.83364,0.81488 0.77566 0.71705,0.08432,19.12797,18.99639,0.40505 0.41729 0.43418
pano_afgaxuyvrobrkx,,1.40877,2.26447 2.15511 2.01173,0.12841,17.98366,21.14357,0.61654 0.65814 0.69837
pano_afgknkdaagvsbo,,0.25037,0.04751 0.05593 0.06936,0.94011,6.39706,24.37423,0.43844 0.48053 0.53373
pano_afhguklrgqgrdn,,1.25370,0.52949 0.52261 0.51578,0.20511,4.92571,20.08959,0.59996 0.61934 0.63504
pano_afhidmafvrhyea,,1.48586,2.32156 2.21383 2.07449,0.14182,15.40726,21.28326,0.68755 0.73335 0.77400
pano_agcxnyuuavlcur,,0.91989,1.95850 1.86409 1.73745,0.11901,17.96385,20.78727,0.57615 0.61183 0.64743
pano_agfjoxxkwhfzcu,,0.75761,2.69966 2.57006 2.40550,0.14243,17.55148,21.59531,0.67659 0.72685 0.77355
pano_agfkfdghkfinxy,,0.61560,1.14992 1.09118 1.00423,0.06995,27.21162,19.36744,0.30894 0.32369 0.34680
pano_agfoidcfwrezqw,,0.26670,2.04769 1.95075 1.82253,0.12946,16.41407,20.96247,0.62845 0.66781 0.70467
pano_aggtylptdgzddm,,0.59422,0.79597 0.75929 0.70625,0.11660,12.86649,19.37605,0.57784 0.59328 0.60631
pano_aglvhbloynospd,,0.61043,0.01828 0.01983 0.02069,0.82923,48.05605,20.23453,0.22180 0.22907 0.24867
pano_agmbftfmmowbuz,,0.69155,0.22179 0.21482 0.21319,0.12794,0.31851,16.86883,0.73989 0.71727 0.68150
pano_agmerocmusnizb,,0.73648,1.13610 1.08434 1.01090,0.11476,15.75047,19.94225,0.53539 0.55821 0.58133
pano_agqptcqlhbnkin,,1.07882,2.56288 2.44103 2.28460,0.14196,17.26374,21.49670,0.67524 0.72378 0.76850
pano_agqxhnmtgdorgq,,0.44528,0.93234 0.88469 0.81441,0.07275,23.40858,19.04680,0.33866 0.35127 0.37094
pano_agrrlgvhfnptth,,0.76171,1.32766 1.26231 1.16969,0.09355,20.00558,19.86334,0.44959 0.47144 0.49743
pano_agtnfyubqwgxbx,,0.54313,1.57086 1.49641 1.39631,0.12142,14.77673,20.42132,0.59828 0.62952 0.65878
pano_agviyulnglcusl,,0.32527,1.25742 1.19351 1.10242,0.09045,20.09864,19.69606,0.45243 0.47271 0.49683
pano_agzdaxpcjesoep,,0.41716,0.99080 0.98800 1.00298,0.31096,2.36452,21.80456,0.79204 0.83869 0.87213
pano_ahctavzclvklsf,,0.13209,0.06677 0.07879 0.10256,0.90342,0.15798,23.34892,0.62988 0.67303 0.71291
pano_ahdkycoskupiaw,,0.68965,0.01071 0.01205 0.01314,0.90665,48.66280,20.62690,0.16923 0.17685 0.19698
pano_aheezutqbgpgxm,,1.26429,2.19473 2.09141 1.95528,0.13371,16.96277,21.14555,0.63956 0.68162 0.72092
pano_ahfnmcbklyjvkt,,0.18502,0.06035 0.06181 0.05897,0.52282,49.68162,19.47239,0.13358 0.13964 0.15698
pano_ahfqurjugibldd,,0.65794,2.76368 2.63051 2.46265,0.14608,17.45388,21.68454,0.68747 0.73940 0.78734
pano_ahmemlihtnkkzf,,0.27085,0.05073 0.05300 0.05335,0.66941,44.61922,20.51297,0.31854 0.32921 0.35086
pano_ahnmarznkjrpsn,,1.28105,1.01688 0.96833 0.89837,0.10233,15.94644,19.52304,0.51404 0.53244 0.55161
pano_ahqctugrkzxpap,,0.88860,1.13474 1.07784 0.99557,0.10210,20.61597,19.83545,0.47257 0.49323 0.51716
pano_ahqqsmtahvpvmj,,0.15854,0.07355 0.08502 0.10471,0.89989,1.58740,23.95074,0.57326 0.61972 0.66910
pano_ahrgsjphfyfwry,,0.30451,0.06137 0.06099 0.05799,0.23376,35.92000,18.00498,0.28568 0.28180 0.28636
pano_ahrjzcgvcnutdl,,0.52661,1.03601 0.98306 0.90491,0.08400,22.37713,19.37304,0.40389 0.41978 0.44098
pano_ahskfyyifopvsi,,0.71572,1.79284 1.70500 1.58847,0.11966,15.91374,20.60928,0.59759 0.63165 0.66422
pano_aiobfhveepqbtq,,0.54338,2.41533 2.29610 2.14353,0.13174,17.63903,21.30186,0.62973 0.67414 0.71689
pano_aiwmqfxawdbzcs,,0.62667,0.92679 0.88225 0.81620,0.07994,21.35980,19.16376,0.36494 0.37863 0.39860
pano_aiwtpamqnhuaow,,0.94645,0.96674 0.96604 0.97651,0.30537,4.98656,21.91425,0.65011 0.69356 0.73317
pano_aixouaemvymzil,,0.38475,0.05773 0.05610 0.05188,0.15231,33.52862,16.66992,0.28262 0.27296 0.27123
pano_ajbxjyhfywpqic,,0.70348,1.11090 1.05554 0.97357,0.08734,23.86306,19.61280,0.39101 0.40862 0.43233
pano_ajdortvifamwxx,,0.17625,0.04314 0.04569 0.04713,0.54908,40.93559,20.26108,0.21955 0.22599 0.24330
pano_ajevvjbnzcvwuu,,0.83098,1.72368 1.64131 1.52988,0.12032,16.21061,20.55860,0.59560 0.62870 0.66026
pano_ajgqnjdtnziwdx,,0.16071,0.36923 0.35881 0.33584,0.14803,34.68333,19.59669,0.29385 0.30422 0.32375
pano_ajptxwbwjhbiyi,,0.09969,0.01585 0.01846 0.02119,0.96821,48.57381,22.54983,0.19993 0.21884 0.25383
pano_ajqruvwlrdyfzo,,1.07819,0.33299 0.33628 0.35348,0.25488,0.29873,19.28226,0.76842 0.77621 0.76827
pano_ajrgafdsizxwef,,1.10550,0.67657 0.66010 0.65673,0.16170,0.74579,19.19464,0.79835 0.80987 0.80456
pano_ajrqwlwgukojfm,,0.77972,1.50595 1.43551 1.34048,0.12073,14.45175,20.35293,0.59253 0.62263 0.65086
pano_ajsjemarxszixz,,1.16958,1.31410 1.25083 1.16238,0.10876,16.20707,19.98860,0.54453 0.56922 0.59395
pano_ajttobugrzging,,0.71955,0.56465 0.53401 0.49143,0.09346,12.19772,18.53457,0.52152 0.52713 0.53233
pano_ajtvaqupaoewua,,0.40383,0.53726 0.52843 0.52067,0.20736,3.64943,20.02334,0.66975 0.68890 0.70057
pano_ajtxvbbralcgye,,0.84645,0.14062 0.13641 0.13527,0.12166,0.37499,16.30785,0.64468 0.61741 0.58258
pano_ajurwtvjkpjmoe,,0.84077,1.30859 1.24626 1.15919,0.10939,15.66381,19.97348,0.54995 0.57467 0.59911
pano_ajvoavmnlucmda,,1.20448,0.98674 0.93834 0.86888,0.10890,14.98991,19.55103,0.56413 0.58273 0.59985
pano_ajytgzmmniyqzk,,1.42964,0.38756 0.40308 0.43376,0.42758,1.26900,21.51318,0.65897 0.69164 0.71791
pano_ajytvvzukdhtcc,,0.57119,0.66081 0.62695 0.57578,0.07620,20.33073,18.56079,0.37714 0.38526 0.39867
pano_aoetpyzftfpxxy,,0.68580,1.10784 1.05639 0.98465,0.11885,12.95307,19.83065,0.59944 0.62216 0.64184
pano_aplialiacsuogl,,1.28121,2.00125 1.90804 1.78431,0.13149,15.99894,20.94820,0.63458 0.67376 0.71001
pano_apnxyoeslmjknj,,0.36529,2.32416 2.20692 2.05325,0.12196,20.97377,21.20692,0.55928 0.59947 0.64147
pano_apqkzpnemfwdlj,,0.98741,0.30591 0.29640 0.28399,0.14419,5.10430,18.54143,0.58736 0.58755 0.58392
pano_apzleijflilglu,,1.50719,1.87466 1.78452 1.66329,0.12241,16.78122,20.72004,0.60611 0.64164 0.67543
pano_aqetbqydonkqdh,,1.01727,1.30949 1.24568 1.15641,0.11311,15.28621,19.99063,0.58842 0.61371 0.63693
pano_aqeuizjcdkebwv,,1.51764,2.48343 2.36390 2.21004,0.13940,17.17015,21.40216,0.67077 0.71784 0.76120
pano_aqgdpavlskcwot,,0.35140,0.48612 0.48375 0.48892,0.23843,1.58442,20.06177,0.72559 0.74462 0.75230
pano_aqgdswmdfkombf,,1.04184,2.04261 1.94322 1.81071,0.12191,18.04235,20.88392,0.59308 0.63049 0.66721
pano_aqgxmdoicvnlwr,,0.34780,1.14133 1.08101 0.99490,0.09853,22.62180,19.85996,0.44009 0.46032 0.48532
pano_aqgykaoznedgku,,1.01771,0.18989 0.19346 0.19535,0.32021,15.30310,20.40212,0.39846 0.41171 0.43115
pano_arehimzosjgsyq,,1.29627,2.81264 2.67969 2.51148,0.14886,17.24874,21.72737,0.70363 0.75681 0.80512
pano_arfdkidfnfezwk,,0.77296,0.02715 0.03139 0.03684,0.91943,33.48259,23.34647,0.25937 0.28140 0.31785
pano_asugqpwtlwkvci,,0.32255,0.08712 0.09186 0.09505,0.68802,37.78368,21.55106,0.36217 0.38189 0.41225
pano_aucrzeyoqphwmy,,0.20208,2.71494 2.58318 2.41584,0.14248,18.13320,21.62745,0.66940 0.71974 0.76701
pano_audeugimookpuz,,1.28205,1.54031 1.46681 1.36404,0.10167,19.00692,20.18015,0.48989 0.51620 0.54536
pano_augguflxpateeg,,0.87974,0.43747 0.42821 0.41555,0.18760,6.72502,19.68847,0.58953 0.60313 0.61365
pano_augwrrstxqnwrx,,0.91525,2.70082 2.57123 2.40646,0.14347,17.68880,21.61387,0.67784 0.72833 0.77520
pano_aujgkpflyvpmot,,0.73685,2.61608 2.49021 2.32919,0.13941,17.85993,21.51522,0.66186 0.71032 0.75583
pano_aujletubhomena,,0.46935,0.64367 0.61579 0.56883,0.08498,31.31870,19.14024,0.27017 0.28039 0.29962
pano_aukuunporimjje,,0.66126,0.56913 0.54330 0.50476,0.10095,16.01943,18.89515,0.44232 0.45138 0.46363
pano_aunkfnnfzwhnmn,,0.98461,0.48442 0.47392 0.46900,0.17045,1.30979,19.08501,0.73605 0.74367 0.73872
pano_aunpxagixyvcic,,0.91634,1.51799 1.44524 1.34364,0.10639,17.93508,20.19422,0.52498 0.55210 0.58052
pano_ausghlfkrmhwjp,,1.13256,2.75649 2.62595 2.46013,0.14664,17.40773,21.67572,0.69285 0.74478 0.79233
pano_autdxetptwcqlf,,0.54152,0.37045 0.37021 0.36639,0.28769,13.48639,20.82091,0.49748 0.51924 0.54398
pano_autglczxhpptos,,1.14543,0.60725 0.57788 0.53574,0.10515,11.89681,18.82415,0.54819 0.55674 0.56378
pano_auxjoxpxjsswyh,,0.88768,0.97663 0.92954 0.85926,0.07380,22.42631,19.09967,0.34444 0.35772 0.37783
pano_auxkhyfsxgtxwr,,0.74310,2.25444 2.14521 2.00221,0.12731,18.06351,21.13347,0.60888 0.65012 0.69037
pano_avacdljgmgqhmc,,0.46627,0.31667 0.29767 0.26704,0.07363,30.15861,17.69889,0.31359 0.31337 0.32024
pano_avbnamvszpfanx,,0.09407,0.07092 0.08231 0.10379,0.86476,0.30453,23.00879,0.59707 0.63488 0.67098
pano_avdgkgiemizvul,,0.12803,1.52444 1.46106 1.37199,0.13556,18.64285,20.80416,0.53073 0.56300 0.59718
pano_avhukifblidbyo,,1.15887,0.49244 0.46622 0.42697,0.09254,15.40141,18.35698,0.49866 0.50214 0.50623
pano_avigokgkovevto,,0.85069,0.49047 0.47111 0.44731,0.12044,5.41728,18.74251,0.58264 0.58815 0.58991
pano_avjkmsocwkrlvl,,0.08200,2.18496 2.07713 1.93802,0.13084,16.60912,21.10113,0.63414 0.67575 0.71499
pano_avjwseqrxfiuju,,0.72653,0.64516 0.61528 0.57258,0.10922,11.45514,18.97444,0.55331 0.56364 0.57226
pano_avmltgldqpyukh,,1.19524,1.30397 1.24147 1.15371,0.10852,18.35509,20.10134,0.50330 0.52771 0.55426
pano_avrsnvdykybuqq,,0.81982,0.05787 0.05965 0.06436,0.28622,0.20423,17.27621,0.58006 0.56073 0.53656
pano_awmcvztmuxueco,,0.66205,1.17265 1.12017 1.04810,0.12421,11.97720,19.96766,0.61779 0.64263 0.66359
pano_awmxsrolyzxpxx,,0.72497,0.30816 0.29701 0.28454,0.13659,2.86903,18.14513,0.65387 0.64831 0.63546
pano_awotmoibusuwzg,,0.82252,1.35853 1.29251 1.19814,0.09527,20.73343,19.94845,0.44871 0.47124 0.49807
pano_awpgwajlpnxcug,,1.05383,2.12319 2.02282 1.89080,0.13130,16.33700,21.03770,0.63798 0.67876 0.71670
pano_awpzjjbzavczmm,,1.06531,0.10882 0.10492 0.10471,0.08229,0.15509,14.68986,0.52041 0.48801 0.45358
pano_awrpnphhwoyobv,,0.89268,0.24920 0.24251 0.22866,0.10114,26.01570,18.26152,0.25139 0.25418 0.26528
pano_awsfjpkwrfsnwg,,1.24507,0.31999 0.32632 0.33998,0.32495,1.68686,20.46687,0.65500 0.67509 0.68814
pano_awsgypiuddxfpf,,1.02145,3.01335 2.87189 2.69426,0.15490,17.57788,21.91486,0.72271 0.77958 0.83092
pano_awubrngdbkcudy,,0.62847,0.70118 0.66239 0.60658,0.07462,17.94230,18.51924,0.40666 0.41482 0.42720
pano_awunrhjwcpaedv,,0.42213,1.15630 1.09761 1.01462,0.08646,19.40178,19.51655,0.42521 0.44339 0.46616
pano_awuvcvnptexwrp,,0.71753,0.19945 0.19800 0.18950,0.19764,37.56363,19.49393,0.24424 0.25164 0.26894
pano_awvvongrkfnwoh,,0.12511,1.11457 1.05684 0.97073,0.08621,27.75161,19.71108,0.35822 0.37557 0.40042
pano_awzpjptmpytzcx,,0.79211,2.22754 2.11544 1.96836,0.11740,19.85884,21.02004,0.55878 0.59708 0.63682
pano_axcvgghftuwkot,,0.69849,1.61113 1.53800 1.43861,0.12956,15.00343,20.60762,0.61242 0.64584 0.67678
pano_axdhotzyzizamo,,0.75084,0.38378 0.40493 0.45792,0.46642,0.11237,21.12777,0.82705 0.85956 0.87281
pano_axdtxoozkabojw,,0.14247,0.70038 0.66431 0.60698,0.07687,27.93498,18.84661,0.33073 0.34038 0.35730
pano_axehekzvnlsmof,,0.97987,0.67006 0.66185 0.67270,0.19608,0.51010,19.58572,0.81302 0.82930 0.82764
pano_ayvmrlkaybmknz,,1.18448,1.54503 1.47154 1.36982,0.11052,16.86156,20.25544,0.55030 0.57872 0.60731
pano_ayzhhbdstzrjlj,,0.85774,1.46399 1.39256 1.29454,0.10641,16.94436,20.14157,0.52669 0.55323 0.58092
pano_ayzkinjigamlob,,1.33236,0.15813 0.15296 0.14637,0.13660,3.75908,17.53170,0.56914 0.55557 0.53918
pano_azauuidrqtldaw,,1.11929,1.21799 1.15896 1.07288,0.08521,21.47949,19.60166,0.40552 0.42414 0.44819
pano_azdhyavxzdrekc,,0.59226,1.95523 1.86003 1.73149,0.11564,19.40743,20.78958,0.54743 0.58209 0.61814
pano_azduyztdfxcllu,,0.99325,2.26994 2.16365 2.02580,0.13951,15.50651,21.21501,0.67989 0.72452 0.76434
pano_azftpknmqthcvk,,1.00525,0.36479 0.34926 0.32666,0.10034,10.50815,18.18613,0.46200 0.46296 0.46558
pano_aznnaxloqzhrvj,,0.64089,1.75775 1.66669 1.54411,0.09852,20.46059,20.38039,0.47842 0.50684 0.53916
pano_aznzfksbtkvjiz,,1.17992,1.27432 1.21293 1.12495,0.09689,18.74127,19.80303,0.47730 0.49901 0.52356
pano_azvzosipwbjegm,,1.41617,0.31933 0.33119 0.35062,0.43012,3.32698,21.55769,0.58628 0.61629 0.64469
pano_azxttslmhfygft,,1.14707,0.46963 0.44655 0.41010,0.09804,18.55274,18.52411,0.45688 0.46177 0.46919
pano_azyugourngspix,,0.28451,0.02188 0.02405 0.02608,0.73922,39.13037,20.92010,0.21539 0.22264 0.24124
pano_azyuurxfnrimkj,,0.83273,0.87208 0.82884 0.76560,0.08660,17.56045,19.05722,0.44115 0.45450 0.47118
pano_azzcyrwqeagfns,,0.53482,0.74827 0.71622 0.66706,0.10731,21.50249,19.53245,0.39200 0.40689 0.42767
pano_abcvayjdqiawli,,0.43817,0.02956 0.03343 0.03711,0.93563,47.85395,22.50201,0.23036 0.25111 0.28767
pano_abnwcaikuwhepk,,0.32710,0.01285 0.01393 0.01523,0.64483,7.38598,18.77374,0.38023 0.37193 0.36976
pano_acyhnekttwlwdz,,0.77705,0.57714 0.57841 0.57625,0.25511,15.24898,21.15043,0.41326 0.43879 0.47099
pano_afgxlqkjpegkuu,,0.45623,0.23674 0.23215 0.21693,0.23503,44.44354,20.00690,0.25658 0.26700 0.28827
pano_afjbnkqutspgpg,,0.02042,0.07462 0.08221 0.09226,0.74396,13.13871,22.57321,0.37719 0.40109 0.43443
pano_afkedkgenkystk,,0.10961,0.01338 0.01569 0.01858,0.95414,39.14423,22.47328,0.25150 0.26922 0.30102
pano_agkstkvrvgyany,,0.35797,0.01530 0.01659 0.01735,0.82361,47.64153,19.69491,0.22144 0.22641 0.24318
pano_agkzwalsgptuxz,,1.05632,1.63202 1.55324 1.44277,0.10666,20.66615,20.41094,0.49513 0.52354 0.55502
pano_ahakbeejkcofud,,1.09027,0.12920 0.12785 0.12604,0.16644,4.18299,17.92267,0.44728 0.44042 0.43555
pano_ahaoiwhwrhxfzk,,1.02462,0.09023 0.09432 0.09957,0.40201,5.27760,19.97973,0.43384 0.44030 0.45054
pano_ahccbmumpypiwr,,0.15433,0.01109 0.01287 0.01490,0.95140,44.50724,21.93655,0.23092 0.24522 0.27339
pano_ahcefgcaqfadpb,,1.05579,0.51123 0.48873 0.45901,0.12050,6.56402,18.72765,0.63048 0.63567 0.63505
pano_ahdfagoelhwemf,,0.45980,0.17312 0.16819 0.15603,0.16811,37.02754,18.53714,0.30515 0.30750 0.31814
pano_aheomytcpwsdzk,,0.93781,0.14472 0.13804 0.12687,0.10393,17.20805,17.18287,0.40413 0.39419 0.38849
pano_ahismidfdoxfzs,,0.21451,0.03787 0.04197 0.04660,0.81915,29.05943,22.46671,0.32976 0.34892 0.37959
pano_ahivwkgesneads,,0.56119,0.90630 0.86364 0.79798,0.09303,24.48028,19.49856,0.37781 0.39329 0.41519
pano_ahjwulojktwwyn,,0.12242,0.03114 0.03438 0.03682,0.87730,48.35185,21.47493,0.20514 0.21956 0.24800
pano_ahntnuykjgfcxj,,1.04788,0.01656 0.01721 0.01722,0.52757,37.69607,18.30745,0.29921 0.29248 0.29484
pano_ahpwvgdecrzqbt,,1.41974,1.16589 1.12288 1.07448,0.14840,4.88200,20.10409,0.73492 0.76235 0.77880
pano_ahrwopmjdqxbce,,0.15238,0.02145 0.02418 0.02625,0.93983,49.50529,21.65364,0.17129 0.18597 0.21555
pano_ahtbyvcnpnudrj,,0.39005,2.36342 2.25999 2.13091,0.15752,11.95244,21.41585,0.76160 0.81183 0.85251
pano_ajsawznjunqkqo,,1.09405,1.10936 1.05264 0.96716,0.10418,27.55991,20.02740,0.41417 0.43453 0.46098
pano_ajttejtqvzgedb,,1.39125,1.06462 1.01617 0.94832,0.12022,12.28765,19.76144,0.61111 0.63297 0.65106
pano_aonllekfgbyzyp,,0.35882,0.02150 0.02283 0.02337,0.67086,45.19899,19.37607,0.23440 0.23696 0.25034
pano_aotmeqhsuvezyx,,0.28957,1.24880 1.17646 1.07306,0.07536,27.21525,19.55429,0.36469 0.38187 0.40625
pano_aqbmgudvjbukyf,,1.48002,0.23931 0.23054 0.21624,0.13007,12.01251,18.23221,0.48839 0.48597 0.48464
pano_aqfrzsrnybsvdu,,0.74931,0.13357 0.13375 0.12896,0.25383,38.13184,19.53596,0.26423 0.27041 0.28627
pano_aqvnhfvormazyh,,0.77614,0.26437 0.25299 0.23004,0.09469,39.93170,18.27628,0.23368 0.23661 0.24871
pano_arzpfpvplymwxo,,0.12102,0.03540 0.03611 0.03599,0.31110,21.33643,18.08479,0.30585 0.29941 0.30066
pano_aujmkxzqdifquo,,1.08114,1.20331 1.14433 1.05915,0.10268,19.21693,19.85509,0.49611 0.51786 0.54178
pano_auksijxdepvbfr,,0.29740,0.28134 0.27162 0.24979,0.14478,40.82148,19.05573,0.26960 0.27634 0.29254
pano_aunignjwrlohfl,,0.95146,0.09874 0.10252 0.10972,0.36475,0.83100,19.19680,0.59467 0.59395 0.58850
pano_auxtrrmmuoxcfk,,0.39590,0.96859 0.93272 0.87748,0.14180,25.55526,20.60382,0.38679 0.40986 0.44059
pano_auymvbdzmdwaca,,0.92716,0.60565 0.57442 0.52424,0.06615,29.34506,18.45231,0.27823 0.28511 0.30015
pano_avmotpstbivuch,,0.08901,0.01623 0.01897 0.02201,0.96470,47.52299,22.55222,0.20255 0.22111 0.25529
pano_awmdwizdzznmxb,,1.25511,0.21252 0.20407 0.19594,0.11851,1.58777,17.27880,0.65296 0.63606 0.61166
pano_awurkwefzlptrl,,0.44363,1.72953 1.63735 1.51477,0.10254,19.59142,20.41381,0.50362 0.53286 0.56499
pano_axdogeyduicjwj,,0.91948,0.32703 0.32413 0.31108,0.21985,36.97171,20.41073,0.27539 0.28913 0.31328
pano_ayxddqfogvzgub,,0.64581,1.48236 1.41122 1.31394,0.11691,14.91247,20.23366,0.59741 0.62630 0.65297
pano_ayxdonerwjwrbr,,0.50920,0.16629 0.17198 0.17709,0.47946,15.98802,21.39824,0.46674 0.48783 0.51409
pano_azbvyjmemcfzpn,,0.89846,0.92162 0.87619 0.80933,0.08833,18.54255,19.19188,0.44258 0.45715 0.47520
pano_aazlyggddoqoyy,,0.61720,0.04917 0.05119 0.05049,0.62369,48.78787,20.21417,0.19902 0.20727 0.22774
pano_abaznwsxbzczen,,0.43766,0.45817 0.43165 0.39275,0.06203,20.13698,17.74306,0.32693 0.32877 0.33685
pano_ablowciifyzwsr,,1.22025,0.03037 0.03159 0.03339,0.37076,1.76545,17.93199,0.47416 0.45888 0.44522
pano_abomwjenilbbda,,1.35757,0.32869 0.32221 0.30856,0.15612,18.95227,19.30803,0.37618 0.38503 0.39985
pano_abptenmbocwrnd,,0.95767,0.07040 0.06897 0.06919,0.11660,0.43496,15.42227,0.46642 0.43988 0.41400
pano_afgpeejvtujmqo,,0.40785,0.11955 0.12638 0.13161,0.68947,37.43816,22.41882,0.35132 0.37669 0.41414
pano_afgwhmygcrdbdn,,1.09923,0.09203 0.10204 0.12143,0.66948,0.23753,21.16293,0.59028 0.61061 0.62660
